"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
625,"P08648|ITA5_HUMAN","Integrin alpha-5 OS=Homo sapiens GN=ITGA5 PE=1 SV=2",-0.652304295725299,10.5841305698495,-0.882968636453026,0.39152736121965,0.596918763826679,-5.57663163350368
28,"P05556|ITB1_HUMAN","Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2",-1.24770305704926,6.06983721407929,-0.892185134666136,0.386729084563917,0.596918763826679,-5.56891256124202
770,"Q9HCE9|ANO8_HUMAN","Anoctamin-8 OS=Homo sapiens GN=ANO8 PE=1 SV=3",1.01273007562907,5.1502412957336,1.07816216821404,0.298412927963958,0.495578612511574,-5.39828189244192
24,"Q07065|CKAP4_HUMAN","Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2",-0.607066135778791,10.603506402587,-0.365667985615733,0.720454619759502,0.905436211319374,-5.88811891821649
558,"Q9H2A7|CXL16_HUMAN","C-X-C motif chemokine 16 OS=Homo sapiens GN=CXCL16 PE=2 SV=4",-1.26249864717294,8.7101556808011,-1.37302419608794,0.190418678403891,0.402475842990041,-5.07382449249817
235,"Q30134|2B18_HUMAN","HLA class II histocompatibility antigen, DRB1-8 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=2",2.29031461275918,6.60763962805728,1.20756824716722,0.246368389474505,0.416586549475072,-5.2636125555443
235,"P20039|2B1B_HUMAN","HLA class II histocompatibility antigen, DRB1-11 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1",2.29031461275918,6.60763962805728,1.20756824716722,0.246368389474505,0.416586549475072,-5.2636125555443
235,"P01912|2B13_HUMAN","HLA class II histocompatibility antigen, DRB1-3 chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=2",2.29031461275918,6.60763962805728,1.20756824716722,0.246368389474505,0.416586549475072,-5.2636125555443
235,"Q5Y7A7|2B1D_HUMAN","HLA class II histocompatibility antigen, DRB1-13 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1",2.29031461275918,6.60763962805728,1.20756824716722,0.246368389474505,0.416586549475072,-5.2636125555443
235,"Q95IE3|2B1C_HUMAN","HLA class II histocompatibility antigen, DRB1-12 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1",2.29031461275918,6.60763962805728,1.20756824716722,0.246368389474505,0.416586549475072,-5.2636125555443
235,"Q9GIY3|2B1E_HUMAN","HLA class II histocompatibility antigen, DRB1-14 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1",2.29031461275918,6.60763962805728,1.20756824716722,0.246368389474505,0.416586549475072,-5.2636125555443
59,"P06756|ITAV_HUMAN","Integrin alpha-V OS=Homo sapiens GN=ITGAV PE=1 SV=2",-0.31546267535167,4.87895072759507,-0.489753873222363,0.631568276445231,0.85124419868705,-5.83633001095542
18,"P21796|VDAC1_HUMAN","Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2",2.12943255471064,6.31217830719514,1.31690819856872,0.208119643565864,0.412338852768359,-5.14031252690739
78,"P78536|ADA17_HUMAN","Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens GN=ADAM17 PE=1 SV=1",-0.557684574447309,8.30861625055973,-0.23241137792901,0.81951514162554,0.918895313756029,-5.92803828703472
423,"P01903|DRA_HUMAN","HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens GN=HLA-DRA PE=1 SV=1",-0.990805402477179,8.06513387892839,-0.62161871213572,0.543755537840935,0.7776684452301,-5.76483778423153
592,"P20036|DPA1_HUMAN","HLA class II histocompatibility antigen, DP alpha 1 chain OS=Homo sapiens GN=HLA-DPA1 PE=1 SV=1",3.65878304563213,8.47762721114889,2.62017697386611,0.0196072654877654,0.130248263597298,-3.18596263533696
60,"P48960|CD97_HUMAN","CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4",-1.01639825656285,5.92962526960506,-0.866495853993337,0.400202422128219,0.600303633192328,-5.5902497171149
3,"P08195|4F2_HUMAN","4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3",0.327970669237786,5.17113681622435,0.295295775654731,0.771916209312393,0.918895313756029,-5.91160567493807
475,"Q99523|SORT_HUMAN","Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3",0.27710067596919,5.21089618024423,0.23950763078948,0.814034079136006,0.918895313756029,-5.92641475843124
521,"O75022|LIRB3_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 3 OS=Homo sapiens GN=LILRB3 PE=2 SV=3",-1.5322588590111,8.90209206631173,-0.987599404194576,0.339397350263446,0.544206096112077,-5.48485979506757
282,"P10644|KAP0_HUMAN","cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1",-0.518936544816888,5.60969671902381,-0.396033215713962,0.697794611520628,0.903340485751517,-5.87716236346844
176,"P09382|LEG1_HUMAN","Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2",-1.61106270388481,10.6034106123466,-3.0018863645296,0.00913861779599816,0.0708242879189857,-2.51515034955449
544,"P20702|ITAX_HUMAN","Integrin alpha-X OS=Homo sapiens GN=ITGAX PE=1 SV=3",3.49435899871074,7.24813207690931,2.46746709017329,0.0264729777378874,0.153505751042993,-3.44711002176658
