"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3564,"O14562|UBFD1_HUMAN","Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2",-0.788722338310571,10.3423883211151,-0.570894733787721,0.570612972009542,0.728834540464145,-5.64819378338771
3565,"Q9HD15|SRA1_HUMAN","Steroid receptor RNA activator 1 OS=Homo sapiens OX=9606 GN=SRA1 PE=1 SV=1",2.14956018198032,7.57922765160471,1.03115393150555,0.307401539816193,0.541283087485013,-5.31111236985579
3566,"Q05823|RN5A_HUMAN","2-5A-dependent ribonuclease OS=Homo sapiens OX=9606 GN=RNASEL PE=1 SV=2",-3.67150194993901,7.90010988204928,-1.89059592585067,0.0644458122709103,0.371369035970236,-4.20162496419256
3568,"P41208|CETN2_HUMAN","Centrin-2 OS=Homo sapiens OX=9606 GN=CETN2 PE=1 SV=1",-5.20815239384689,9.65161630507449,-3.14785625258193,0.00276461010575644,0.172232339720537,-1.63756480131385
3569,"Q15120|PDK3_HUMAN","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens OX=9606 GN=PDK3 PE=1 SV=1",-0.337279525260623,9.52314516445461,-0.212669829569674,0.832444059338754,0.912763890929739,-5.77792141098811
3570,"Q13769|THOC5_HUMAN","THO complex subunit 5 homolog OS=Homo sapiens OX=9606 GN=THOC5 PE=1 SV=2",-0.125310746586519,6.86326698804152,-0.0606416129087753,0.951884945795929,0.974974663862798,-5.79719205509044
3571,"P13612|ITA4_HUMAN","Integrin alpha-4 OS=Homo sapiens OX=9606 GN=ITGA4 PE=1 SV=3",1.71000550617065,5.41064023055419,0.850009027687299,0.399348093256076,0.611256512199516,-5.46623069830601
3572,"A8CG34|P121C_HUMAN","Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3",-1.41561476331916,6.49121935918305,-0.686205823878551,0.495734485733395,0.676867318308731,-5.58150546630147
3572,"Q96HA1|P121A_HUMAN","Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens OX=9606 GN=POM121 PE=1 SV=2",-1.27034706231961,6.41858550868327,-0.61858146737549,0.538983475843157,0.70861497658355,-5.6220737283529
3574,"P23458|JAK1_HUMAN","Tyrosine-protein kinase JAK1 OS=Homo sapiens OX=9606 GN=JAK1 PE=1 SV=2",1.09953166185999,5.56910750684659,0.532870648637502,0.596469689468806,0.744164959708206,-5.66754097383825
3575,"Q9H583|HEAT1_HUMAN","HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3",-1.17288426062894,5.39914313051496,-0.568806792078461,0.572018420705264,0.729547923594188,-5.64929027825713
3576,"O75879|GATB_HUMAN","Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Homo sapiens OX=9606 GN=GATB PE=1 SV=1",-1.54900023079193,4.77758881271514,-0.833479619530022,0.408514890584073,0.617947237035489,-5.47894772861023
3577,"P28340|DPOD1_HUMAN","DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2",-2.68719600705528,8.61278600093232,-1.43769271585289,0.156713851944766,0.430665262994406,-4.86067687615621
3580,"Q96JB2|COG3_HUMAN","Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens OX=9606 GN=COG3 PE=1 SV=3",-3.02227855424322,9.34096852741205,-1.70471520169374,0.0944177743476844,0.385701893955712,-4.49129067849603
3582,"Q6P1L8|RM14_HUMAN","39S ribosomal protein L14, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL14 PE=1 SV=1",-0.220678627459623,10.2274640821104,-0.156730715260622,0.876084495097039,0.934215380139378,-5.78750281327132
3583,"Q8IY67|RAVR1_HUMAN","Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1",0.33113938099722,10.2802280544099,0.236428235659764,0.81406057032459,0.899147353065498,-5.77297571858736
3585,"O15514|RPB4_HUMAN","DNA-directed RNA polymerase II subunit RPB4 OS=Homo sapiens OX=9606 GN=POLR2D PE=1 SV=1",-0.305879421974556,10.933901826163,-0.255582536088597,0.799315497242254,0.888284196801107,-5.76860839813381
3586,"Q99735|MGST2_HUMAN","Microsomal glutathione S-transferase 2 OS=Homo sapiens OX=9606 GN=MGST2 PE=1 SV=1",-1.29738598887968,10.9191916915911,-0.938207805394828,0.352763164284968,0.580691990810602,-5.39416580345214
