"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3163,"Q86UY6|NAA40_HUMAN","N-alpha-acetyltransferase 40 OS=Homo sapiens OX=9606 GN=NAA40 PE=1 SV=1",2.61127577458563,4.2624901264996,1.76047736129038,0.0932350941896471,0.107278874067586,-4.51408453328443
3164,"P82909|RT36_HUMAN","28S ribosomal protein S36, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS36 PE=1 SV=2",10.0666006877179,7.99015258306575,18.7897356031004,2.12793610928627e-14,1.81251195149384e-13,16.636394836137
3165,"Q9NRX5|SERC1_HUMAN","Serine incorporator 1 OS=Homo sapiens OX=9606 GN=SERINC1 PE=1 SV=1",2.83352253718895,4.37361350780126,2.19527397703892,0.0398063874953178,0.0489006355638078,-3.82177401510744
3166,"P40818|UBP8_HUMAN","Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1",3.06964548671026,4.49167498256191,2.28182605158437,0.0333000833549023,0.0417742981154689,-3.67284442464943
3168,"Q8WUY1|THEM6_HUMAN","Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2",4.23575500545933,5.07472974193645,3.00327864866654,0.00689212361573271,0.0101277389009813,-2.32623120247318
3170,"Q9H6T0|ESRP2_HUMAN","Epithelial splicing regulatory protein 2 OS=Homo sapiens OX=9606 GN=ESRP2 PE=1 SV=1",3.27802671870234,4.59586559855795,2.32582459241669,0.0303810275994787,0.0387307802178785,-3.59589897513325
3171,"P61009|SPCS3_HUMAN","Signal peptidase complex subunit 3 OS=Homo sapiens OX=9606 GN=SPCS3 PE=1 SV=1",7.999359496554,6.95653198748378,6.06463118645725,8.3054140098412e-06,2.03927576134494e-05,3.50551681849849
3172,"Q9BSD7|NTPCR_HUMAN","Cancer-related nucleoside-triphosphatase OS=Homo sapiens OX=9606 GN=NTPCR PE=1 SV=1",5.70470249579223,5.8092034871029,4.25150991515364,0.000372489004882209,0.000692459038530423,0.224353159513487
3173,"P51809|VAMP7_HUMAN","Vesicle-associated membrane protein 7 OS=Homo sapiens OX=9606 GN=VAMP7 PE=1 SV=3",5.40866974720032,5.66118711280694,3.90783075913614,0.000839615586137088,0.00150140269699386,-0.487186408821754
3175,"Q6UXV4|MIC27_HUMAN","MICOS complex subunit MIC27 OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1",6.14404781463382,6.02887614652369,4.47343896994892,0.000220473372993025,0.000426115705834913,0.68249113572456
3176,"Q9NXE4|NSMA3_HUMAN","Sphingomyelin phosphodiesterase 4 OS=Homo sapiens OX=9606 GN=SMPD4 PE=1 SV=3",2.80182930230991,4.35776689036174,2.15618103772584,0.0431089650612696,0.0525719086113044,-3.88793782176664
3177,"Q15382|RHEB_HUMAN","GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1",8.31848680553093,7.11609564197225,10.1705460122981,1.84047821025395e-09,5.6326240933845e-09,10.1073559938355
3179,"P05412|JUN_HUMAN","Transcription factor AP-1 OS=Homo sapiens OX=9606 GN=JUN PE=1 SV=2",4.8474391163049,5.38057179735923,3.13427664744967,0.00511202201952159,0.00769100616457918,-2.06667548244104
3180,"Q9UPN7|PP6R1_HUMAN","Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PPP6R1 PE=1 SV=5",3.78131314401339,4.84750881121348,2.79742434989206,0.010949374557668,0.0155899009049637,-2.72642511305119
